ROM,TIA_Count,RIOT_Count,RIOT_Timer,RIOT_IO,Branches,Jumps,Opcodes,Score
Exocet.bin,263,60,54,6,342,101,127,0.9516
F-14 Tomcat Flight Simulator.bin,734,203,174,29,1533,351,151,0.9363
falldown_ntsc.bin,280,93,77,16,395,211,146,0.9029
Fantastic Voyage.bin,213,51,45,6,458,56,130,0.9482
Farmyard Fun.bin,299,53,49,4,281,133,140,0.9365
Fast Eddie.bin,227,56,48,8,299,50,139,0.9398
Fast Food.bin,148,65,52,13,298,143,139,0.9271
Fatal Run.bin,1223,504,376,128,1844,1033,151,0.9405
Fathom.bin,306,182,154,28,789,183,150,0.9438
Fighterp.bin,734,203,174,29,1533,351,151,0.9363
Final Approach.bin,308,70,50,20,358,101,143,0.9485
Fire Birds.bin,176,99,79,20,349,128,146,0.9375
Fire Fighter.bin,285,90,82,8,422,80,139,0.9360
Fire Fly.bin,179,103,89,14,373,175,140,0.9406
Fire Spinner.bin,354,93,62,31,327,88,147,0.9406
Fishing Derby (16k Version).bin,1280,496,384,112,1336,232,132,0.9430
Fishing Derby (32 in 1) (PAL).bin,160,62,48,14,164,28,130,0.9438
Fishing Derby (pirate) (32 in 1) (PAL).bin,160,64,50,14,166,26,130,0.9434
Flag Capture (32 in 1) (PAL).bin,74,73,38,35,184,68,125,0.9486
Flag Capture.bin,74,73,38,35,184,67,124,0.9485
FlapPing.bin,197,109,95,14,221,76,132,0.9128
Flash Gordon.bin,245,112,95,17,364,54,144,0.9494
Flashgrd.bin,245,112,95,17,364,54,144,0.9494
Football (1).bin,105,44,33,11,185,42,130,0.9319
Football (2).bin,210,88,66,22,370,84,130,0.9319
Football (32 in 1) (PAL).bin,105,44,33,11,185,42,131,0.9319
Foozball.bin,216,100,94,6,261,126,132,0.9324
Forest (PAL).bin,277,70,47,23,355,108,141,0.9384
fotr.bin,98,64,61,3,202,61,127,0.9060
Frankenstein's Monster.bin,316,113,83,30,374,97,140,0.9456
Freeway (1).bin,174,65,40,25,148,43,127,0.9503
Freeway (2).bin,348,130,80,50,296,86,127,0.9503
Freeway (32 in 1) (PAL).bin,174,65,40,25,146,43,124,0.9512
Freeway (pirate) (32 in 1) (PAL).bin,175,65,40,25,143,43,124,0.9492
Frogflys.bin,116,50,38,12,286,93,141,0.9211
Frogger II - Threedeep!.bin,301,65,59,6,662,313,147,0.9398
Frogger.bin,133,28,23,5,359,103,149,0.9379
Frogpond.bin,266,34,17,17,589,182,148,0.9608
Frontline.bin,276,135,96,39,610,213,151,0.9350
Frostbite.bin,283,83,71,12,340,69,146,0.9392
Fun with Numbers (32 in 1) (PAL).bin,75,56,39,17,179,64,127,0.9475
Fun With Numbers.bin,75,56,39,17,179,64,126,0.9474
G.I. Joe - Cobra Strike.bin,401,93,89,4,372,137,141,0.9379
Galaga.bin,200,62,53,9,367,67,144,0.9365
Galaxian.bin,676,302,289,13,716,132,147,0.9371
Game of Concentration.bin,71,19,16,3,175,23,127,0.9365
Gangster Alley.bin,175,106,96,10,299,114,144,0.9413
garfield.bin,251,164,139,25,340,249,151,0.8511
Gas Hog.bin,291,86,69,17,369,45,145,0.9464
Gauntlet.bin,214,128,75,53,360,69,141,0.9391
Ghost Manor (1).bin,187,63,57,6,254,78,146,0.9247
Ghost Manor (2).bin,297,125,114,11,553,261,149,0.9393
Ghostbusters II.bin,543,257,224,33,790,217,149,0.9542
Ghostbusters.bin,510,122,81,41,738,164,149,0.9338
Ghostman.bin,297,125,114,11,553,261,149,0.9393
Gigolo.bin,236,127,93,34,314,125,139,0.9316
Glacier Patrol.bin,152,73,65,8,291,59,140,0.9457
Glib.bin,221,54,31,23,292,194,146,0.9351
GoFish_NTSC.bin,270,157,126,31,444,155,150,0.9141
Golf (1).bin,100,25,20,5,190,30,143,0.9429
Golf (2).bin,200,50,40,10,380,60,143,0.9429
Golf (32 in 1) (PAL).bin,100,23,19,4,189,30,143,0.9427
Golf.bin,100,25,20,5,190,30,143,0.9429
Gopher.bin,175,64,53,11,290,123,143,0.9314
Gorf.bin,265,131,94,37,399,120,136,0.9415
Grand Prix (16k Version).bin,1220,256,228,28,1192,244,138,0.9353
Gravitar.bin,324,170,159,11,733,179,150,0.9375
Great Escape.bin,160,78,59,19,332,174,143,0.9470
Gremlins.bin,378,196,142,54,549,215,150,0.9350
Grover's Music Maker.bin,328,133,105,28,354,176,148,0.9248
Guardian.bin,349,110,88,22,357,119,137,0.9464
GUNNTSC.bin,129,65,43,22,293,87,144,0.9169
Gyruss.bin,131,84,66,18,594,172,149,0.9110
H.E.R.O..bin,335,86,68,18,725,181,151,0.9270
Halloween.bin,189,62,35,27,361,103,139,0.9470
Hangman.bin,110,24,14,10,226,91,143,0.9124
Harbor Escape.bin,199,55,47,8,355,68,145,0.9374
